Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9988814970432617,1.0
Original,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.997013600557137,1.0
Quad4FHE,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.99838546529723,1.0
Quad4FHE,test,0.9385892116182573,0.9336165710552459,0.9319529031160735,0.9370560327666649,0.9964955108640583,0.979253112033195
square,fit,0.4666666666666667,0.3559163059163059,0.548639455782313,0.36882086167800454,0.7074010338364429,0.43333333333333335
square,test,0.4887966804979253,0.43980601097114114,0.5869230049138874,0.4366695950398171,0.7191573360742984,0.4946058091286307
ls_poly_2,fit,0.9666666666666667,0.9636300897170462,0.974025974025974,0.9595238095238094,0.9991295129162776,0.9833333333333333
ls_poly_2,test,0.9344398340248963,0.9292838987813367,0.9374543782469463,0.922898866564184,0.9963591635872282,0.9800829875518672
ls_poly_3,fit,0.9666666666666667,0.9636300897170462,0.974025974025974,0.9595238095238094,0.9991295129162776,0.9833333333333333
ls_poly_3,test,0.9344398340248963,0.9292838987813367,0.9374543782469463,0.922898866564184,0.9963660018650976,0.9800829875518672
ls_poly_5,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9991295129162776,1.0
ls_poly_5,test,0.9452282157676348,0.9404933897098324,0.9464794748758668,0.9359135685564173,0.9967556752880607,0.9933609958506224
ls_poly_7,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9991295129162776,1.0
ls_poly_7,test,0.946058091286307,0.9415066776945995,0.946598535910799,0.9376710897467117,0.9969018465738125,0.995850622406639
remez_2,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9991295129162776,1.0
remez_2,test,0.9344398340248963,0.9283658686448762,0.934135062302858,0.9238940006078388,0.996452507505792,0.9800829875518672
remez_3,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9991295129162776,1.0
remez_3,test,0.9344398340248963,0.9283658686448762,0.934135062302858,0.9238940006078388,0.9964484627262798,0.9800829875518672
remez_5,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9991295129162776,1.0
remez_5,test,0.9468879668049792,0.9421357903872813,0.9444108589027513,0.9408895821530346,0.9968360092052703,0.9941908713692946
remez_7,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9986334811702459,1.0
remez_7,test,0.9468879668049792,0.942455821319283,0.9450042530270399,0.9410828412748652,0.9969429074000373,0.995850622406639
ola,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9988814970432617,1.0
ola,test,0.9319502074688797,0.9275765993358033,0.9345868815618539,0.9224922016426012,0.9793922566955319,0.983402489626556
precise_a11,fit,0.95,0.9473304473304474,0.9561688311688312,0.9476190476190477,0.9988814970432617,1.0
precise_a11,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.997014893381959,1.0
