hidden_dim,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,orig_top1,quad_top1,he_export_dir,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_positive_count,sum_slack,mean_slack,max_slack,pairwise_slack_positive_count,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version
64,soft(C=1.0),False,0.17045576824682934,0.7893347903770422,0.6310131263209676,-2.1346012447484126,-0.8200289815329305,0,0.8962418300653595,0.8921568627450981,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_sib200_h64,4800,0.9925,36,False,0.9893790849673203,13,0.0031209150326797497,28800,-2.1346012447484126,-0.8200289815329305,96,90.56602785944104,0.01886792247071688,3.1346012447484126,101,92.30527256486457,0.00320504418628002,3.1346012447484126,1.0,,multiclass_bias_free_dL_v1
128,soft(C=1.0),False,0.511204065426642,1.9231648761584845,1.1416852291499702,-2.1782167293529895,-0.7291261849734473,0,0.8897058823529411,0.8962418300653595,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_sib200_h128,4800,0.9922916666666667,37,False,0.9926470588235294,9,-0.00035539215686275494,28800,-2.1782167293529895,-0.7291261849734473,99,89.88365180167645,0.018725760792015926,3.1782167293529895,101,90.78780512392777,0.0031523543445808253,3.1782167293529895,1.0,,multiclass_bias_free_dL_v1
256,soft(C=10.0),False,0.16575726596517373,0.5481227171174518,0.2881472804616537,-2.9677636090482764,-0.803863185718901,0,0.8929738562091504,0.8970588235294118,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_sib200_h256,4800,0.9941666666666666,28,False,0.9926470588235294,9,0.001519607843137205,28800,-2.9677636090482764,-0.803863185718901,73,72.21045515870307,0.015043844824729806,3.9677636090482764,78,74.3655187746107,0.0025821360685628716,3.9677636090482764,10.0,,multiclass_bias_free_dL_v1
