hidden_dim,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,orig_top1,orig_top5,quad_top1,quad_top5,he_export_dir,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_positive_count,sum_slack,mean_slack,max_slack,pairwise_slack_positive_count,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version
64,soft(C=1.0),False,0.08385994202903671,0.5886455929802739,0.6198372054662188,-4.839108725158342,-1.6234809742112144,0,0.8485909090909091,0.9537727272727273,0.8495,0.9541818181818181,/root/autodl-tmp/DINOV2_Code/he_artifacts_dinov2_tinyimagenet_h64,88000,0.9762045454545455,2094,False,0.9741363636363637,569,0.0020681818181818024,17512000,-4.839108725158342,-1.6234809742112144,5046,5037.903588023518,0.057248904409358155,5.839108725158342,6815,6215.1735381475955,0.0003549094071578115,5.839108725158342,1.0,,multiclass_bias_free_dL_v1
128,soft(C=1.0),False,0.10264294644811495,0.5388628951166206,0.4225346024230572,-4.839326802103431,-1.4207893332549446,0,0.8615909090909091,0.9603181818181818,0.8617727272727272,0.9606818181818182,/root/autodl-tmp/DINOV2_Code/he_artifacts_dinov2_tinyimagenet_h128,88000,0.9821136363636364,1574,False,0.9791363636363637,459,0.002977272727272662,17512000,-4.839326802103431,-1.4207893332549446,3760,3749.578944976484,0.04260885164746005,5.839326802103431,4675,4373.700817201658,0.0002497545007538635,5.839326802103431,1.0,,multiclass_bias_free_dL_v1
256,soft(C=100.0),False,0.17469603212501386,0.662898117287147,0.4011355283387178,-3.6446368903269963,-0.9841391675614002,0,0.8647727272727272,0.9629090909090909,0.8652272727272727,0.9630909090909091,/root/autodl-tmp/DINOV2_Code/he_artifacts_dinov2_tinyimagenet_h256,88000,0.9859772727272728,1234,False,0.9846818181818182,337,0.001295454545454544,17512000,-3.6446368903269963,-0.9841391675614002,2905,2905.967306776951,0.03302235575882899,4.644636890326996,3414,3234.4962165603492,0.00018470170263592674,4.644636890326996,100.0,,multiclass_bias_free_dL_v1
