Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9156136363636364,0.9155143247286983,0.9171501287631532,0.9156136363636364,0.999321051538685,1.0
Original,test,0.8615909090909091,0.8616914242623983,0.8647585093284388,0.8615909090909091,0.9979085759375388,1.0
Quad4FHE,fit,0.9094772727272727,0.9093365600151501,0.9111063798194605,0.9094772727272726,0.9992330923730222,0.9821136363636364
Quad4FHE,test,0.8617727272727272,0.8617312685316064,0.8646601408656547,0.8617727272727272,0.9978792661655385,0.9791363636363636
square,fit,0.6388068181818182,0.6346184838709003,0.7090460823872958,0.6388068181818183,0.9840410371848912,0.6573068181818181
square,test,0.5906363636363636,0.5870155703444052,0.6614504010383342,0.5906363636363636,0.977332020640392,0.6374545454545455
ls_poly_2,fit,0.8892954545454546,0.8915501655791076,0.9004617668336191,0.8892954545454547,0.9991203806999874,0.9442386363636364
ls_poly_2,test,0.8503636363636363,0.8535124149994844,0.8647924720438734,0.8503636363636363,0.9979695149300221,0.9410454545454545
ls_poly_3,fit,0.8982272727272728,0.8991926248802645,0.9037840028358083,0.8982272727272727,0.9991644563208605,0.9605454545454546
ls_poly_3,test,0.8577727272727272,0.859389886297822,0.8660736009941581,0.8577727272727274,0.9980447734540471,0.9581363636363637
ls_poly_5,fit,0.9069431818181818,0.90714756361413,0.9095323745539962,0.9069431818181818,0.9992372039692262,0.9786931818181818
ls_poly_5,test,0.8620909090909091,0.8626438972317573,0.8664933170673018,0.8620909090909091,0.998031504630591,0.9771818181818182
ls_poly_7,fit,0.9097727272727273,0.9097927299564117,0.9117221174194762,0.9097727272727272,0.9992664454763487,0.9852386363636364
ls_poly_7,test,0.8618636363636364,0.8621085723407308,0.8654671470368578,0.8618636363636364,0.9979894327006936,0.9845
remez_2,fit,0.8986818181818181,0.8994850919287097,0.9036391564610204,0.8986818181818181,0.9991547380497527,0.9618636363636364
remez_2,test,0.8584090909090909,0.8597802651889852,0.865810066742991,0.8584090909090909,0.9980565762697786,0.9592272727272727
remez_3,fit,0.9028295454545454,0.9031648820675119,0.9059892778541166,0.9028295454545454,0.9991851208521949,0.9700113636363636
remez_3,test,0.8613181818181819,0.8620696037181012,0.866439685998809,0.8613181818181818,0.9980722226836662,0.9677727272727272
remez_5,fit,0.9088181818181819,0.9086927951979977,0.9104562581008154,0.9088181818181819,0.9992512817185099,0.9828295454545455
remez_5,test,0.8621363636363636,0.8620354542516486,0.8648659807824168,0.8621363636363637,0.9980104738568878,0.9815
remez_7,fit,0.911409090909091,0.9112234225179996,0.9129230689511495,0.9114090909090907,0.9992794259261183,0.9878977272727273
remez_7,test,0.8622272727272727,0.8620770938082853,0.8648768327488444,0.8622272727272727,0.9979407845010175,0.9858181818181818
ola,fit,0.9153068181818181,0.9152145993670666,0.9168525046634858,0.9153068181818181,0.9993181574193281,0.9977159090909091
ola,test,0.8615454545454545,0.8616504258974435,0.8647314735105514,0.8615454545454546,0.9978639602973546,0.9977272727272727
precise_a11,fit,0.9156477272727273,0.9155499338828865,0.9171843044612534,0.9156477272727273,0.9993211474469454,0.9999545454545454
precise_a11,test,0.8615909090909091,0.8616865304047069,0.8647453766278062,0.8615909090909091,0.9979083724407161,0.9999545454545454
