hidden_dim,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,orig_top1,quad_top1,he_export_dir,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_positive_count,sum_slack,mean_slack,max_slack,pairwise_slack_positive_count,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version
64,soft(C=100.0),False,0.019930708907837505,0.265052455502056,0.6296058302246346,-3.6653649607410532,-0.7863782184828938,0,0.9027958387516255,0.9037711313394018,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_banking77_h64,9993,0.9812869008305815,187,False,0.9746423927178154,78,0.006644508112766068,759468,-3.6653649607410532,-0.7863782184828938,461,461.04051333478805,0.04613634677622216,4.665364960741053,570,534.6265572617403,0.0007039487605293973,4.665364960741053,100.0,,multiclass_bias_free_dL_v1
128,soft(C=100.0),False,0.06530735314485518,0.6373250544186359,0.9485979912141744,-3.1851261268302986,-1.3364183970689338,0,0.9167750325097529,0.9144993498049415,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_banking77_h128,9993,0.9855899129390573,144,False,0.9817945383615084,56,0.00379537457754886,759468,-3.1851261268302986,-1.3364183970689338,344,344.53835649173755,0.034477970228333585,4.185126126830299,397,379.2169009243253,0.0004993191298702846,4.185126126830299,100.0,,multiclass_bias_free_dL_v1
256,soft(C=0.1),False,0.1825952721077219,1.1866511647279576,1.1319965046208609,-3.1550291212297887,-1.6351695727432738,0,0.9190507152145644,0.9154746423927178,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_banking77_h256,9993,0.9918943260282198,81,False,0.9847204161248374,47,0.007173909903382403,759468,-3.1550291212297887,-1.6351695727432738,247,218.32185489545358,0.021847478724652616,4.155029121229789,270,232.97113682893647,0.000306755698500709,4.155029121229789,0.1,,multiclass_bias_free_dL_v1
