key,hidden_dim,pool_fraction,rep_fit_size,status,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,slack_positive_count,sum_slack,max_slack,selected_C,constraint_version,test_top1_acc,test_top5_acc,he_artifact_dir,skip_reason
hidden_dim=64,64,,,ok,soft(C=0.1),False,0.11111554531998051,0.5738652435663469,0.369951105741181,-30.216736013704885,-15.261371267453377,0,50000,0.75372,12314,False,0.7541,2459,-0.00038000000000004697,4950000,-30.216736013704885,29952,29912.489800790154,31.216736013704885,0.1,multiclass_bias_free_dL_v1,0.2045,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\CIFAR-100(CV_multi-class)\he_artifacts_cifar100_h64,
hidden_dim=128,128,,,ok,soft(C=0.1),False,0.12899427485941736,0.5413742199323672,0.2934004362523953,-23.20620764342168,-8.255710780584474,0,50000,0.8007,9965,False,0.8011,1989,-0.00040000000000006697,4950000,-23.20620764342168,24287,24207.871067722208,24.20620764342168,0.1,multiclass_bias_free_dL_v1,0.201,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\CIFAR-100(CV_multi-class)\he_artifacts_cifar100_h128,
hidden_dim=256,256,,,ok,soft(C=0.1),False,0.13555148963722505,0.48385077081901084,0.2403818281520554,-38.525443914403375,-10.88535644377508,0,50000,0.83012,8494,False,0.8229,1771,0.007220000000000004,4950000,-38.525443914403375,20762,20636.79673612004,39.525443914403375,0.1,multiclass_bias_free_dL_v1,0.2071,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\CIFAR-100(CV_multi-class)\he_artifacts_cifar100_h256,
