pool,pool_fraction,hidden_dim,method_used,hard_feasible,empirical_margin,norm_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch,exact_preserved,test_agreement,test_mismatch,calib_test_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_pos,sum_slack,mean_slack,max_slack,pairwise_slack_pos,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version,quad_top5,he_export_dir
01%,0.01,256,soft(C=100.0),False,-2.885545,-0.828295,0,1100,0.9890909090909091,12,False,0.9848181818181818,334,0.004272727272727317,218900,-2.8855446332744665,-0.828295271459982,31,30.96744584090314,0.028152223491730126,3.8855446332744665,33,31.221991825097824,0.00014263130116536237,3.8855446332744665,100.0,,multiclass_bias_free_dL_v1,0.9627,he_artifacts_dinov2_tinyimagenet_pool_01
05%,0.05,256,soft(C=100.0),False,-3.614869,-0.837515,0,5500,0.9850909090909091,82,False,0.9838181818181818,356,0.0012727272727273142,1094500,-3.614868515999877,-0.8375145140584017,202,200.97420412068595,0.036540764385579266,4.614868515999877,233,222.68460923901958,0.00020345784306899915,4.614868515999877,100.0,,multiclass_bias_free_dL_v1,0.9621,he_artifacts_dinov2_tinyimagenet_pool_05
10%,0.1,256,soft(C=100.0),False,-3.844315,-0.623673,0,11000,0.9854545454545455,160,False,0.9844090909090909,343,0.0010454545454545716,2189000,-3.8443147746066018,-0.6236730161247139,400,399.6711750512352,0.03633374318647593,4.844314774606602,469,450.04328571528856,0.00020559309534732233,4.844314774606602,100.0,,multiclass_bias_free_dL_v1,0.962,he_artifacts_dinov2_tinyimagenet_pool_10
20%,0.2,256,soft(C=100.0),False,-4.386228,-0.771475,0,22000,0.9847272727272727,336,False,0.9844090909090909,343,0.00031818181818177305,4378000,-4.386227916313001,-0.7714751170035831,819,819.5004613099441,0.03725002096863382,5.386227916313001,973,929.4705600893996,0.00021230483327761525,5.386227916313001,100.0,,multiclass_bias_free_dL_v1,0.9621,he_artifacts_dinov2_tinyimagenet_pool_20
