Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9715786221810319,0.9711357971215054,0.9713739710469057,0.9713643101806813,0.9998772444400253,1.0
Original,test,0.8730305838739574,0.8696982333448141,0.8784717866802333,0.8715445072058771,0.9992801065648588,1.0
Quad4FHE,fit,0.9641643497065184,0.9637016204656694,0.9644617134259061,0.963887295543723,0.9998539421682276,0.9848625270312017
Quad4FHE,test,0.8748841519925857,0.8718546495376481,0.881195152487255,0.8732303402692612,0.9992666617202592,0.9573679332715477
square,fit,0.45481927710843373,0.45832486638195485,0.6479328576525568,0.45917451837371887,0.916417739792349,0.45968489341983315
square,test,0.36916898362681494,0.3601963629100198,0.5053489628268313,0.37226220276012556,0.9081793679365219,0.386468952734013
ls_poly_2,fit,0.9013747296879827,0.8980166948804263,0.9230104719141957,0.8988707223526825,0.9996933572432781,0.9128822984244671
ls_poly_2,test,0.7920914426938523,0.7863645582468729,0.8355414432411996,0.7899360384376101,0.9988404559698358,0.8498609823911029
ls_poly_3,fit,0.9024559777571826,0.8991343076428701,0.9235173743384882,0.8999404034844801,0.9996942406362667,0.9141180105035527
ls_poly_3,test,0.7933271547729379,0.7875350367789393,0.8362150149364518,0.7911765346360895,0.9988407740496328,0.8510966944701884
ls_poly_5,fit,0.956209453197405,0.9554471856738723,0.9582678129959297,0.9554607054822979,0.9998112827163561,0.9748223663886314
ls_poly_5,test,0.8575841828853877,0.8536982064822528,0.8702075177864848,0.8554191422247197,0.9991826931182524,0.936360827927093
ls_poly_7,fit,0.9647049737411183,0.964105641664127,0.9650332614782176,0.9642443095742114,0.9998428337015335,0.98671609514983
ls_poly_7,test,0.8690145196169292,0.8654836844927047,0.8768325517326828,0.8669245723480575,0.999273610789155,0.9641643497065184
remez_2,fit,0.9394501081248069,0.9380414324350776,0.9452342689331948,0.9384264624993869,0.9997474698509461,0.9544331170837195
remez_2,test,0.8384306456595613,0.833061035877525,0.8533639071658943,0.8365567903146092,0.9990028200778369,0.9048501699104109
remez_3,fit,0.9399907321594069,0.9386434599175706,0.9454438280730552,0.9389603320802408,0.9997489643565158,0.9548192771084337
remez_3,test,0.8393574297188755,0.8339888067154148,0.8541253893566313,0.8374404771226659,0.999007811874772,0.9051590979301822
remez_5,fit,0.963314797652147,0.9627104487758431,0.963775010546522,0.9628937020953363,0.9998339185666199,0.9839357429718876
remez_5,test,0.8699413036762434,0.8662582331650769,0.8757360988156738,0.8682685600748878,0.9992533814311979,0.955205437133148
remez_7,fit,0.9681031819586037,0.967642327010498,0.9680772289640359,0.9679549054932289,0.9998587004915099,0.9904232313870868
remez_7,test,0.8733395118937287,0.8692476736963708,0.8771167058433899,0.8716797658270299,0.9992978671629132,0.9663268458449181
ola,fit,0.9711924621563176,0.970787581703765,0.9709878628364951,0.9710429497178145,0.9998755030472637,0.9986870559159716
ola,test,0.8733395118937287,0.8702616522602549,0.8792942309063287,0.8720863173365226,0.9986986549788877,0.9935125115848007
precise_a11,fit,0.9715786221810319,0.9711357971215054,0.9713739710469057,0.9713643101806813,0.9998772550061052,1.0
precise_a11,test,0.8730305838739574,0.8696982333448141,0.8784717866802333,0.8715445072058771,0.9992802820295515,1.0
