hidden_dim,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,orig_top1,orig_top5,quad_top1,quad_top5,he_export_dir,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_positive_count,sum_slack,mean_slack,max_slack,pairwise_slack_positive_count,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version
64,soft(C=10.0),False,0.053570749018879385,0.39946718488487193,0.4231310734464964,-3.389473711625803,-0.8042832291232616,0,0.889,0.9798333333333333,0.8889166666666667,0.9808333333333333,/root/autodl-tmp/DINOV2_Code/he_artifacts_dinov2_cifar100_h64,48000,0.9852916666666667,706,False,0.9795833333333334,245,0.005708333333333315,4752000,-3.389473711625803,-0.8042832291232616,1736,1735.217593660345,0.03615036653459052,4.3894737116258025,2097,2005.6089154671715,0.00042205574820437114,4.3894737116258025,10.0,,multiclass_bias_free_dL_v1
128,soft(C=1.0),False,0.11907575665550764,0.6147198026050541,0.4701298968824515,-3.441819018134134,-1.2577654313075561,0,0.893,0.9829166666666667,0.8930833333333333,0.9829166666666667,/root/autodl-tmp/DINOV2_Code/he_artifacts_dinov2_cifar100_h128,48000,0.9892083333333334,518,False,0.98375,195,0.005458333333333343,4752000,-3.441819018134134,-1.2577654313075561,1243,1235.730683923848,0.025744389248413498,4.441819018134134,1441,1372.7770944212675,0.00028888406869134417,4.441819018134134,1.0,,multiclass_bias_free_dL_v1
256,soft(C=1.0),False,0.4249389283150009,1.4952140344942444,0.8503787771871257,-3.344935235211497,-1.6390892267648904,0,0.8953333333333333,0.9849166666666667,0.8956666666666667,0.9848333333333333,/root/autodl-tmp/DINOV2_Code/he_artifacts_dinov2_cifar100_h256,48000,0.9914375,411,False,0.9875833333333334,149,0.003854166666666603,4752000,-3.344935235211497,-1.6390892267648904,969,966.9506051188987,0.02014480427331039,4.344935235211497,1075,1032.9047633971431,0.0002173621135094998,4.344935235211497,1.0,,multiclass_bias_free_dL_v1
