key,hidden_dim,pool_fraction,rep_fit_size,status,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,slack_positive_count,sum_slack,max_slack,selected_C,constraint_version,test_top1_acc,test_top5_acc,he_artifact_dir,skip_reason
hidden_dim=64,64,,,ok,soft(C=1.0),False,0.13126508193299355,0.4946331431621916,0.2742383270364002,-24.441639990942782,-8.000727921745291,0,50000,0.86576,6712,False,0.8596,1404,0.006159999999999943,450000,-24.441639990942782,17221,17212.487935212524,25.441639990942782,1.0,multiclass_bias_free_dL_v1,0.4876,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\CIFAR-10(CV_multi-class)\he_artifacts_cifar10_h64,
hidden_dim=128,128,,,ok,soft(C=1.0),False,0.1480764291455937,0.5040642074528542,0.25311232932102806,-13.920026289536828,-4.953222046296267,0,50000,0.8727,6365,False,0.8618,1382,0.01090000000000002,450000,-13.920026289536828,16003,15995.615689282717,14.920026289536828,1.0,multiclass_bias_free_dL_v1,0.5063,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\CIFAR-10(CV_multi-class)\he_artifacts_cifar10_h128,
hidden_dim=256,256,,,ok,soft(C=1.0),False,0.1499004443563774,0.45534713688863476,0.21375046088726302,-17.163186388565336,-5.852904269741196,0,50000,0.8874,5630,False,0.8741,1259,0.013299999999999979,450000,-17.163186388565336,14337,14328.14712957853,18.163186388565336,1.0,multiclass_bias_free_dL_v1,0.5264,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\CIFAR-10(CV_multi-class)\he_artifacts_cifar10_h256,
