key,hidden_dim,pool_fraction,rep_fit_size,status,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,slack_positive_count,sum_slack,max_slack,selected_C,constraint_version,test_top1_acc,test_top5_acc,he_artifact_dir,skip_reason
hidden_dim=64,64,,,ok,soft(C=10.0),False,0.02501122883037276,0.14402300419458156,0.07797403732959167,-257.6773409823402,-254.212133552344,0,46400,0.9779094827586207,1025,False,0.9778448275862069,257,6.465517241371899e-05,278400,-257.6773409823402,5750,5880.065136534389,258.6773409823402,10.0,multiclass_bias_free_dL_v1,0.9763793103448276,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Shuttle(multi-class)\he_artifacts_shuttle_h64,
hidden_dim=128,128,,,ok,soft(C=0.01),False,0.043652019106524616,0.16648696354953746,0.08486222772076378,-339.98242781392486,-333.89025169265983,0,46400,0.9797629310344828,939,False,0.98,232,-0.00023706896551722867,278400,-339.98242781392486,5261,5355.586118831249,340.98242781392486,0.01,multiclass_bias_free_dL_v1,0.9773275862068965,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Shuttle(multi-class)\he_artifacts_shuttle_h128,
hidden_dim=256,256,,,ok,soft(C=0.001),False,0.03946236891686143,0.14413423946831638,0.0649778090250863,-557.23644899539,-549.9821579740676,0,46400,0.9725862068965517,1272,False,0.9730172413793103,313,-0.0004310344827586077,278400,-557.23644899539,6081,5822.885095600312,558.23644899539,0.001,multiclass_bias_free_dL_v1,0.9704310344827586,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Shuttle(multi-class)\he_artifacts_shuttle_h256,
