Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9414375,0.9414571975446238,0.942106774558412,0.9414374999999998,0.9995480986076037,1.0
Original,test,0.889,0.8887484580565307,0.8900695607279608,0.8889999999999999,0.9985585227272725,1.0
Quad4FHE,fit,0.9368125,0.9367724752143609,0.9375046794798836,0.9368125,0.9994793722818462,0.9852916666666667
Quad4FHE,test,0.8889166666666667,0.8886499107415433,0.8899879826110415,0.8889166666666667,0.998543609708193,0.9795833333333334
square,fit,0.6488333333333334,0.6355571422941858,0.6835332576127862,0.6488333333333333,0.978122971248948,0.6623541666666667
square,test,0.6043333333333333,0.5920812266791136,0.6364504847440466,0.6043333333333333,0.9703790824915824,0.6424166666666666
ls_poly_2,fit,0.9250833333333334,0.9251416450261558,0.9287649798317037,0.9250833333333334,0.9994258882225029,0.9630416666666667
ls_poly_2,test,0.8814166666666666,0.8819921883372115,0.8874813167251518,0.8814166666666665,0.9985444093714928,0.9534166666666667
ls_poly_3,fit,0.9272916666666666,0.9272068374548031,0.9302373039156363,0.9272916666666667,0.9994421353289842,0.9668125
ls_poly_3,test,0.8850833333333333,0.8852425362787615,0.8898596058189421,0.8850833333333334,0.9985762135241301,0.9595833333333333
ls_poly_5,fit,0.9354166666666667,0.9353776276724429,0.9367005267634638,0.9354166666666669,0.9994941778900113,0.9817708333333334
ls_poly_5,test,0.8893333333333333,0.8891998039061129,0.891383631503947,0.8893333333333334,0.9986002104377105,0.9775833333333334
ls_poly_7,fit,0.9379583333333333,0.9379240312821111,0.9387806736643596,0.9379583333333333,0.9995128888713526,0.9884791666666667
ls_poly_7,test,0.8905,0.8902946467238679,0.8918192104519187,0.8905000000000001,0.9985898428731762,0.9849166666666667
remez_2,fit,0.9301458333333333,0.9300407986685899,0.9324037422250288,0.9301458333333333,0.9994422352868968,0.9704375
remez_2,test,0.8868333333333334,0.8867333502682169,0.890476867644853,0.8868333333333334,0.9985860620089787,0.9641666666666666
remez_3,fit,0.9313541666666667,0.9312695683244777,0.9333771475905768,0.9313541666666668,0.9994558865565376,0.9730208333333333
remez_3,test,0.8873333333333333,0.8870879237324643,0.8905730654864541,0.8873333333333332,0.9985982814253649,0.9669166666666666
remez_5,fit,0.937,0.9369512345026473,0.9379110550199643,0.937,0.9995029338524131,0.9857708333333334
remez_5,test,0.8908333333333334,0.890601334440304,0.8921842188611597,0.8908333333333331,0.998590600448934,0.9818333333333333
remez_7,fit,0.9385625,0.9385307722843621,0.9392276420234171,0.9385624999999997,0.9995179262240461,0.9897083333333333
remez_7,test,0.8901666666666667,0.8898512643953066,0.8910274555014921,0.8901666666666663,0.9985635171156002,0.9864166666666667
ola,fit,0.9412916666666666,0.9413112716840906,0.941979973365242,0.9412916666666666,0.9995454304328001,0.998625
ola,test,0.8891666666666667,0.8889223228993661,0.8902107073546043,0.8891666666666667,0.9984741301907968,0.998
precise_a11,fit,0.9414375,0.9414561830943395,0.9421048815733823,0.9414374999999999,0.9995481608620932,0.9999583333333333
precise_a11,test,0.8890833333333333,0.8888287674485933,0.8901686901575746,0.8890833333333333,0.9985583894500563,0.9999166666666667
