pool,pool_fraction,hidden_dim,method_used,hard_feasible,empirical_margin,norm_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch,exact_preserved,test_agreement,test_mismatch,calib_test_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_pos,sum_slack,mean_slack,max_slack,pairwise_slack_pos,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,constraint_version,he_export_dir
01%,0.01,256,hard,True,1.0,0.078859,2,131,1.0,0,True,0.978194338179036,57,0.021805661820963995,9956,1.0,0.07885924892362119,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,multiclass_bias_free_dL_v1,he_artifacts_qwen3_banking77_pool_01
05%,0.05,256,soft(C=0.01),False,-1.088501,-0.982552,0,653,0.9892802450229708,7,False,0.9770466717674062,60,0.012233573255564623,49628,-1.088500748369881,-0.9825520446628299,53,31.10386432932342,0.04763225777844322,2.088500748369881,64,37.085334828981686,0.0007472663582852761,2.088500748369881,0.01,multiclass_bias_free_dL_v1,he_artifacts_qwen3_banking77_pool_05
10%,0.1,256,soft(C=100.0),False,-2.96768,-1.646268,0,1307,0.9862280030604438,18,False,0.9801071155317521,52,0.006120887528691665,99332,-2.9676803855606932,-1.6462680127636589,45,45.40715032951617,0.034741507520670366,3.9676803855606932,50,47.99571496801437,0.0004831848243065112,3.9676803855606932,100.0,multiclass_bias_free_dL_v1,he_artifacts_qwen3_banking77_pool_10
20%,0.2,256,soft(C=100.0),False,-3.212196,-0.747843,0,2614,0.9850803366488141,39,False,0.9831675592960979,44,0.0019127773527162217,198664,-3.2121960749094605,-0.7478434190855586,101,100.92264941566307,0.0386085116356783,4.2121960749094605,118,108.65500586239335,0.0005469285117705943,4.2121960749094605,100.0,multiclass_bias_free_dL_v1,he_artifacts_qwen3_banking77_pool_20
