Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.8601818181818182,0.8611545985069378,0.8678931748713751,0.8601256613756614,0.9979501533908385,1.0
Original,test,0.8619545454545454,0.8624618095727985,0.8664950632173642,0.8619545454545455,0.9980433074463225,1.0
Quad4FHE,fit,0.8605454545454545,0.8611300692994982,0.8674741604981273,0.8605026455026454,0.997874303493507,0.9850909090909091
Quad4FHE,test,0.8620454545454546,0.8626125064115991,0.8666534750425889,0.8620454545454546,0.9979412184891399,0.9838181818181818
square,fit,0.7256363636363636,0.7327496497562886,0.7856749554626349,0.7256150793650794,0.9902949394377326,0.7883636363636364
square,test,0.7220454545454545,0.7290084531909122,0.781352771078165,0.7220454545454547,0.9902693841106358,0.7813636363636364
ls_poly_2,fit,0.8521818181818182,0.8555365673686558,0.8699942040448121,0.852123015873016,0.9979282066621207,0.9487272727272728
ls_poly_2,test,0.8511818181818182,0.8549711197275854,0.8676638372810973,0.8511818181818183,0.9980564973628472,0.9500909090909091
ls_poly_3,fit,0.8583636363636363,0.860167225190527,0.8694115434256556,0.858260582010582,0.9980094064118776,0.9681818181818181
ls_poly_3,test,0.8570909090909091,0.8589298225912533,0.8660542769842289,0.857090909090909,0.9981174446613231,0.9693636363636363
ls_poly_5,fit,0.860909090909091,0.8620685693643542,0.8697010646507902,0.8608068783068782,0.99800832886682,0.9832727272727273
ls_poly_5,test,0.8607272727272727,0.8616731102620264,0.8666502424047698,0.8607272727272728,0.9981044540886249,0.9845454545454545
ls_poly_7,fit,0.86,0.8608763488947767,0.8679535273830697,0.8599272486772486,0.9979884707285984,0.9887272727272727
ls_poly_7,test,0.8614545454545455,0.8621388995744801,0.8664701548693341,0.8614545454545456,0.9980772851862619,0.9901818181818182
remez_2,fit,0.8581818181818182,0.8598981941655498,0.8690343231538439,0.8580753968253968,0.9980128654136783,0.9669090909090909
remez_2,test,0.8575909090909091,0.8593971550400917,0.8664355071370321,0.857590909090909,0.998129347148968,0.9684090909090909
remez_3,fit,0.8607272727272727,0.8620089625573807,0.8697978460874151,0.8606150793650794,0.998035120473809,0.9752727272727273
remez_3,test,0.8596818181818182,0.8607563230227132,0.8659138938210883,0.8596818181818182,0.9981416940072262,0.9770909090909091
remez_5,fit,0.8607272727272727,0.8613719083241169,0.8676223682678131,0.8606613756613756,0.9980027160767527,0.9863636363636363
remez_5,test,0.8624090909090909,0.86285916180328,0.8667471552996332,0.862409090909091,0.9980901117156029,0.9880454545454546
remez_7,fit,0.860909090909091,0.8615433797640124,0.8678637550491689,0.8608531746031746,0.9979664893647453,0.9914545454545455
remez_7,test,0.8628636363636364,0.863189448550624,0.8668092711250863,0.8628636363636363,0.9980462851447319,0.9903636363636363
ola,fit,0.8603636363636363,0.8613573124652228,0.8680564003335506,0.8603174603174603,0.9979522974261721,0.9981818181818182
ola,test,0.8613181818181819,0.8618111292096262,0.8658065533841929,0.8613181818181818,0.9978142240126252,0.9980454545454546
precise_a11,fit,0.8601818181818182,0.8611545985069378,0.8678931748713751,0.8601256613756614,0.9979502573041951,1.0
precise_a11,test,0.8619545454545454,0.8624587915809211,0.8664896244366187,0.8619545454545454,0.9980430914905105,0.9999090909090909
