pool,pool_fraction,hidden_dim,method_used,hard_feasible,empirical_margin,norm_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch,exact_preserved,test_agreement,test_mismatch,calib_test_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_pos,sum_slack,mean_slack,max_slack,pairwise_slack_pos,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version,quad_top5,he_export_dir
01%,0.01,256,soft(C=100.0),False,-1.547617,-0.506028,0,600,0.985,9,False,0.98825,141,-0.003249999999999975,59400,-1.547616701908158,-0.506028275600802,21,20.52116697533611,0.03420194495889352,2.547616701908158,22,21.072196364567578,0.00035475078054827573,2.547616701908158,100.0,,multiclass_bias_free_dL_v1,0.985,he_artifacts_dinov2_cifar100_pool_01
05%,0.05,256,soft(C=100.0),False,-2.197826,-0.275293,0,3000,0.989,33,False,0.988,144,0.0010000000000000009,297000,-2.197826482270446,-0.27529269866996836,85,84.69028990680101,0.028230096635600336,3.197826482270446,89,87.18562077855054,0.00029355427871565837,3.197826482270446,100.0,,multiclass_bias_free_dL_v1,0.9852,he_artifacts_dinov2_cifar100_pool_05
10%,0.1,256,soft(C=100.0),False,-2.668672,-0.353137,0,6000,0.9891666666666666,65,False,0.9885,138,0.0006666666666665932,594000,-2.668671537961566,-0.3531373127177753,161,161.56456171720208,0.026927426952867015,3.668671537961566,174,167.05528418484118,0.0002812378521630323,3.668671537961566,100.0,,multiclass_bias_free_dL_v1,0.9851,he_artifacts_dinov2_cifar100_pool_10
20%,0.2,256,soft(C=10.0),False,-4.187736,-0.799518,0,12000,0.9883333333333333,140,False,0.9880833333333333,143,0.00024999999999997247,1188000,-4.187736121323965,-0.7995184328693354,348,346.64623567043236,0.028887186305869363,5.187736121323965,388,366.1745684125518,0.0003082277511890167,5.187736121323965,10.0,,multiclass_bias_free_dL_v1,0.985,he_artifacts_dinov2_cifar100_pool_20
