hidden_dim,method_used,hard_feasible,alpha,beta,eta,threshold,empirical_margin,normalized_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,slack_positive_count,sum_slack,max_slack,constraint_version
64,rch(mu=0.010),False,0.08988767454856078,0.9959519094636307,0.10316156846354779,0.0,0.43097599841347733,0.43097599841347733,1,7630,0.9939711664482307,46,False,0.9937106918238994,12,0.0002604746243313194,,,,binary_QH_v1
128,rch(mu=0.010),False,0.10953806973120729,0.9939826010949896,-1.7023059019810243,0.0,0.3612929404892402,0.3612929404892402,1,7630,0.9948885976408912,39,False,0.9931865828092243,13,0.001702014831666876,,,,binary_QH_v1
256,rch(mu=0.010),False,0.10990840417433227,0.9939417199674494,-5.20193687300292,0.0,0.45243037115520746,0.45243037115520746,1,7630,0.9938401048492792,47,False,0.9947589098532494,10,-0.0009188050039702356,,,,binary_QH_v1
