Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9184659090909091,0.9186183773963542,0.9201698353344762,0.9184659090909091,0.999392342393787,1.0
Original,test,0.8647727272727272,0.8650130765803706,0.8684437363154115,0.8647727272727272,0.998161485111508,1.0
Quad4FHE,fit,0.9128409090909091,0.9129656249527737,0.9146810658806924,0.9128409090909091,0.9992882404013871,0.9859772727272728
Quad4FHE,test,0.8652272727272727,0.8655247070637319,0.8689949310079649,0.8652272727272726,0.9980432430748786,0.9846818181818182
square,fit,0.7705340909090909,0.7775256462829206,0.8345608526942929,0.770534090909091,0.9952059058204245,0.7891931818181818
square,test,0.7075454545454546,0.7160291329622982,0.7773421414455208,0.7075454545454545,0.9896353669172308,0.7625909090909091
ls_poly_2,fit,0.8889772727272728,0.892431226591213,0.9037699736866815,0.8889772727272728,0.9991805814973628,0.9441590909090909
ls_poly_2,test,0.8511363636363637,0.8556790260861967,0.8704429023073521,0.8511363636363637,0.9981590099256613,0.9399545454545455
ls_poly_3,fit,0.9000568181818182,0.9012944462490524,0.9062370079624894,0.9000568181818182,0.9992315780867146,0.9650454545454545
ls_poly_3,test,0.8605,0.8623713937315958,0.8698580598571641,0.8604999999999999,0.9982335395988204,0.962590909090909
ls_poly_5,fit,0.9091363636363636,0.9095407102950595,0.9119312228931267,0.9091363636363635,0.999300312512978,0.9819886363636363
ls_poly_5,test,0.8640909090909091,0.8647403862317578,0.8690453137305151,0.864090909090909,0.9982271772083559,0.980909090909091
ls_poly_7,fit,0.9124886363636364,0.9127588117383232,0.9147005635516825,0.9124886363636364,0.9993316742545372,0.9880113636363637
ls_poly_7,test,0.8653181818181818,0.8657702023443238,0.869501630046237,0.8653181818181818,0.9982016715810457,0.9871363636363636
remez_2,fit,0.8993409090909091,0.9005769311230649,0.9055650763369983,0.8993409090909091,0.9992167830370863,0.9638409090909091
remez_2,test,0.8598636363636364,0.8617290705279623,0.8692355809415099,0.8598636363636365,0.9982450247103286,0.9609090909090909
remez_3,fit,0.9044318181818182,0.9050189088209631,0.9080095395882861,0.9044318181818182,0.9992494394752689,0.9733295454545454
remez_3,test,0.8635909090909091,0.8644632058129578,0.8694546530232538,0.863590909090909,0.9982594044603182,0.9722727272727273
remez_5,fit,0.9115909090909091,0.9116849174252895,0.9133505387053377,0.9115909090909091,0.999315582431787,0.9859886363636363
remez_5,test,0.8660454545454546,0.8662474019236391,0.8695656183429114,0.8660454545454545,0.9982148967980399,0.9851363636363636
remez_7,fit,0.9150340909090909,0.9150773375480047,0.9165747091793571,0.9150340909090908,0.9993510969101707,0.9905
remez_7,test,0.8653636363636363,0.8654847277992737,0.8685930839344544,0.8653636363636363,0.9981702500103825,0.9893181818181818
ola,fit,0.9182954545454546,0.9184475166292364,0.9200033289594722,0.9182954545454547,0.9993906025478634,0.9984431818181818
ola,test,0.8645909090909091,0.8648033378878768,0.8682167634711954,0.8645909090909092,0.9981626853274637,0.9980909090909091
precise_a11,fit,0.9184545454545454,0.9186076122368411,0.9201596059539977,0.9184545454545454,0.9993924223389676,0.9999886363636363
precise_a11,test,0.8647272727272727,0.8649664576301089,0.8683919288391396,0.8647272727272727,0.9981615245649736,0.9999545454545454
