hidden_dim,label_field,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,orig_top1,quad_top1,he_export_dir,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,normalized_min_pairwise_margin,slack_positive_count,sum_slack,mean_slack,max_slack,pairwise_slack_positive_count,pairwise_sum_slack,pairwise_mean_slack,pairwise_max_slack,selected_C,selected_mu,constraint_version
64,intent,soft(C=0.1),False,0.05241223774809706,0.4561991946726643,0.618063392275724,-4.995981630338756,-1.4758537696160978,0,0.8532279757901816,0.854180676978256,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_massive_intent_h64,81282,0.9784085037277626,1755,False,0.9782559964133603,388,0.00015250731440230592,4795638,-4.995981630338756,-1.4758537696160978,4369,4253.867084197433,0.05233467537951124,5.995981630338756,5154,4762.407590326544,0.000993070700984216,5.995981630338756,0.1,,multiclass_bias_free_dL_v1
128,intent,soft(C=0.001),False,0.13412778257076882,0.8130296650074593,0.8368004690441925,-4.491870673091106,-2.9121107480666955,0,0.8583837704550549,0.85681461555705,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_massive_intent_h128,81282,0.9809182844910312,1551,False,0.9789284913696481,376,0.0019897931213831432,4795638,-4.491870673091106,-2.9121107480666955,5469,4078.2734321876483,0.05017437356595123,5.491870673091106,6599,4610.524659596932,0.0009613996426746414,5.491870673091106,0.001,,multiclass_bias_free_dL_v1
256,intent,soft(C=10.0),False,0.08438754235130233,0.3883749946694755,0.2894476568767605,-5.0688649244783335,-0.8866096391715768,0,0.8555817081371889,0.8545169244563999,/root/autodl-tmp/Qwen3_Code/he_artifacts_qwen3_massive_intent_h256,81282,0.9858271203956596,1152,False,0.9869423895987447,233,-0.0011152692030851341,4795638,-5.0688649244783335,-0.8866096391715768,2822,2819.1473780522297,0.03468353852085615,6.0688649244783335,3166,3032.799174780268,0.0006324078620572003,6.0688649244783335,10.0,,multiclass_bias_free_dL_v1
