key,hidden_dim,pool_fraction,rep_fit_size,status,method_used,hard_feasible,alpha,beta,eta,empirical_margin,normalized_margin,quant_decimals,calib_n,calib_agreement,calib_mismatch_count,exact_preserved_on_calib,test_agreement,test_mismatch_count,calib_test_agreement_gap,num_pairwise_constraints,min_pairwise_margin,slack_positive_count,sum_slack,max_slack,selected_C,constraint_version,test_top1_acc,test_top5_acc,he_artifact_dir,skip_reason
pool=01%,256,0.01,309,ok,soft(C=100.0),False,0.08987895096761536,0.6614867093275566,0.21714814974291888,-3.673505873353042,-2.7481266818174817,0,309,0.9093851132686084,28,False,0.8818681318681318,1462,0.027516981400476537,2472,-3.673505873353042,73,73.14952097244003,4.673505873353042,100.0,multiclass_bias_free_dL_v1,0.7646250808015513,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Otto Group(multi-class)\he_artifacts_otto_pool_01,
pool=05%,256,0.05,1546,ok,soft(C=1.0),False,0.05724180851336033,0.46829452104209807,0.1501957212514268,-11.828775701746594,-9.449524450465807,0,1546,0.8880983182406209,173,False,0.8770200387847447,1522,0.01107827945587625,12368,-11.828775701746594,459,456.3566313236826,12.828775701746594,1.0,multiclass_bias_free_dL_v1,0.7638978668390433,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Otto Group(multi-class)\he_artifacts_otto_pool_05,
pool=10%,256,0.1,3093,ok,soft(C=10.0),False,0.05222413262610586,0.431883136770366,0.15312540731468186,-20.055697798330492,-17.802326653616568,0,3093,0.8726155835758164,394,False,0.8759696186166774,1535,-0.0033540350408610697,24744,-20.055697798330492,1038,1035.3834453865898,21.055697798330492,10.0,multiclass_bias_free_dL_v1,0.762847446670976,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Otto Group(multi-class)\he_artifacts_otto_pool_10,
pool=20%,256,0.2,6188,ok,soft(C=0.01),False,0.06361718121266657,0.4616009951658017,0.17823834972006958,-35.288759345144676,-31.577229917126786,0,6188,0.8750808015513898,773,False,0.8788784744667097,1499,-0.0037976729153199607,49504,-35.288759345144676,2016,1978.5715989226849,36.288759345144676,0.01,multiclass_bias_free_dL_v1,0.7651098901098901,,e:\李锐\8. 日常学习\非线性近似\CCS2026\Experimental\Single_Layer\Otto Group(multi-class)\he_artifacts_otto_pool_20,
